experiment_id,run_index,algorithm,eval_f1_reconstruction,eval_f2_security,eval_f3_robustness,eval_f4_complexity
IMG_0007,1,HHO-VC,0.4120726884943379,0.0019024878123588,0.0582681891093106,0.5973856209150327
IMG_0007,1,MO-BDA-EHHO-VC,0.3970897603723224,0.0017093955582668,0.0579328429795719,0.1176470588235294
IMG_0007,2,HHO-VC,0.4223169497556415,0.0020162612761546,0.0583948434415724,0.4745098039215686
IMG_0007,2,EHHO-VC,0.4223169497556415,0.0020162612761546,0.0583948434415724,0.4745098039215686
IMG_0007,2,BEHHO-VC-Calibrated,0.4140577327003827,0.0021505197113176,0.0584085163524415,0.4117647058823529
IMG_0007,2,BDA-EHHO-VC-Calibrated,0.4160952165410551,0.0020588484730556,0.0583761331424882,0.4235294117647059
IMG_0007,2,MO-BDA-EHHO-VC,0.3970596630360128,0.0017171966142574,0.0581465721652637,0.1751633986928104
IMG_0007,3,BDA-EHHO-VC-Calibrated,0.407763113981355,0.0019602379298421,0.0584214696364229,0.3516339869281046
IMG_0007,3,EHHO-VC,0.4118126915328566,0.0017666416929969,0.0583718153811611,0.5254901960784314
IMG_0007,3,BEHHO-VC-Calibrated,0.408306313754901,0.0018245528384824,0.0584243481439743,0.4431372549019607
IMG_0007,3,HHO-VC,0.4118312071093711,0.0017102391360304,0.0583732546349368,0.5281045751633987
IMG_0007,3,MO-BDA-EHHO-VC,0.3985941192158787,0.0017770565349523,0.0581480114190394,0.1385620915032679
IMG_0007,4,EHHO-VC,0.4036378232150527,0.0012281563305943,0.0580069645490206,0.2379084967320261
IMG_0007,4,BEHHO-VC-Calibrated,0.4099228243323792,0.0016329398627769,0.0578925438738522,0.0405228758169934
IMG_0007,4,HHO-VC,0.4083473832847007,0.001333195787878,0.0579148523073756,0.0405228758169934
IMG_0007,4,BDA-EHHO-VC-Calibrated,0.4001032953264841,0.0014641324464109,0.0579882542499365,0.0771241830065359
IMG_0007,4,MO-BDA-EHHO-VC,0.3978386972400058,0.0010602675326522,0.0578133849161886,0.0954248366013071
IMG_0007,5,EHHO-VC,0.4088984312244237,0.0023933074431643,0.0578522447681326,0.0444444444444444
IMG_0007,5,BDA-EHHO-VC-Calibrated,0.4039365022383056,0.0019058843859323,0.0580890020142356,0.1254901960784313
IMG_0007,5,BEHHO-VC-Calibrated,0.4098001067825039,0.0019982316701094,0.0578313755883849,0.134640522875817
IMG_0007,5,HHO-VC,0.4091188910380666,0.0021844316720103,0.0579220485762541,0.0405228758169934
IMG_0007,5,MO-BDA-EHHO-VC,0.4079411666058067,0.0019731064915351,0.0578054690204222,0.0810457516339869
IMG_0008,1,EHHO-VC,0.4205210418889557,0.0015300434151403,0.0580904412680113,0.2745098039215686
IMG_0008,1,BDA-EHHO-VC-Calibrated,0.4339040447167084,0.0010664326724804,0.0580177589523383,0.4183006535947712
IMG_0008,1,BEHHO-VC-Calibrated,0.4374568511282284,0.0016535367107724,0.0580753291033664,0.2169934640522876
IMG_0008,1,HHO-VC,0.4206823568386159,0.0016237630581297,0.0580854038797964,0.2875816993464052
IMG_0008,1,MO-BDA-EHHO-VC,0.4186016699860764,0.0014086150740723,0.0580911608948992,0.1411764705882353
IMG_0008,2,BDA-EHHO-VC-Calibrated,0.421818461438162,0.0019170402280777,0.0583459088131985,0.0810457516339869
IMG_0008,2,EHHO-VC,0.4380426104825419,0.0021894729722148,0.0585200585200585,0.4601307189542483
IMG_0008,2,BEHHO-VC-Calibrated,0.4221547557821528,0.0017509961742914,0.0583322359023293,0.0810457516339869
IMG_0008,2,HHO-VC,0.4298215082537431,0.0015951838549931,0.0584279462784135,0.0588235294117647
IMG_0008,2,MO-BDA-EHHO-VC,0.4202717208040107,0.0016236178306707,0.0580659739538244,0.0418300653594771
IMG_0008,3,BEHHO-VC-Calibrated,0.4230353759041144,0.0019097078291292,0.0580227963405533,0.3516339869281046
IMG_0008,3,EHHO-VC,0.4170274311386105,0.0012671030265853,0.0581293011199553,0.1359477124183006
IMG_0008,3,HHO-VC,0.4425490325810476,0.0015731191714573,0.0580933197755627,0.5686274509803921
IMG_0008,3,BDA-EHHO-VC-Calibrated,0.4448310202396157,0.0016176711333126,0.0579004597696186,0.5647058823529412
IMG_0008,3,MO-BDA-EHHO-VC,0.4198887184418989,0.0010940545326029,0.0579695439508523,0.0627450980392156
IMG_0008,4,BDA-EHHO-VC-Calibrated,0.4333784377040206,0.0020620134642722,0.0581696002256749,0.2535947712418301
IMG_0008,4,EHHO-VC,0.4307736508221584,0.0019223806163281,0.0580120019372355,0.0248366013071895
IMG_0008,4,HHO-VC,0.4307736508221584,0.0019223806163281,0.0580120019372355,0.0248366013071895
IMG_0008,4,BEHHO-VC-Calibrated,0.4458154613559975,0.0020078224622383,0.0580566188042823,0.4679738562091503
IMG_0008,4,MO-BDA-EHHO-VC,0.4233393801663375,0.0018719130492546,0.0580487029085159,0.0718954248366013
IMG_0008,5,BEHHO-VC-Calibrated,0.4350658272968528,0.0014545483547777,0.0584416191892827,0.2431372549019607
IMG_0008,5,BDA-EHHO-VC-Calibrated,0.4375723639430265,0.0013731449450583,0.0583588620971798,0.4222222222222222
IMG_0008,5,EHHO-VC,0.4228562650048276,0.001421147390617,0.058440179935507,0.1372549019607843
IMG_0008,5,HHO-VC,0.4374449053218901,0.0015341919185343,0.0584524135926005,0.0117647058823529
IMG_0008,5,MO-BDA-EHHO-VC,0.4282017212573756,0.0012420915505425,0.05825163769089,0.2496732026143791
IMG_0009,1,HHO-VC,0.4692592221822891,0.0018198265936304,0.0584855164294416,0.0078431372549019
IMG_0009,1,BEHHO-VC-Calibrated,0.4619234134171235,0.0015372260496203,0.0584876753101052,0.0104575163398692
IMG_0009,1,EHHO-VC,0.4692592221822891,0.0018198265936304,0.0584855164294416,0.0078431372549019
IMG_0009,1,BDA-EHHO-VC-Calibrated,0.4820035688463719,0.001695008632806,0.0585279744158248,0.2091503267973856
IMG_0009,1,MO-BDA-EHHO-VC,0.4562842731985441,0.0017862377683474,0.0583696565004976,0.1006535947712418
IMG_0009,2,HHO-VC,0.4692592221822891,0.0016060696586314,0.0578702354403289,0.0078431372549019
IMG_0009,2,EHHO-VC,0.4692592221822891,0.0016060696586314,0.0578702354403289,0.0078431372549019
IMG_0009,2,BDA-EHHO-VC-Calibrated,0.4774430900692906,0.0026847126911491,0.0583149648570209,0.2274509803921568
IMG_0009,2,BEHHO-VC-Calibrated,0.4635389503817534,0.0023285721814504,0.0582091797045068,0.0666666666666666
IMG_0009,2,MO-BDA-EHHO-VC,0.4609984473464731,0.0016326805306303,0.0579522729055439,0.0261437908496732
IMG_0009,3,BDA-EHHO-VC-Calibrated,0.4598573476897055,0.0029488466809846,0.0582307685111423,0.0392156862745098
IMG_0009,3,HHO-VC,0.4511347755806573,0.0027548180661327,0.058212777838946,0.0143790849673202
IMG_0009,3,EHHO-VC,0.4511347755806573,0.0027548180661327,0.058212777838946,0.0143790849673202
IMG_0009,3,BEHHO-VC-Calibrated,0.4570985437214457,0.0030432834653925,0.0581573665685815,0.0130718954248366
IMG_0009,3,MO-BDA-EHHO-VC,0.4517780712212041,0.0030427352804448,0.0580688524613758,0.0183006535947712
IMG_0009,4,EHHO-VC,0.4614474860582935,0.0020004012495866,0.0582696283630863,0.0313725490196078
IMG_0009,4,HHO-VC,0.4804828194421701,0.0020073939781581,0.0584128341137686,0.1699346405228758
IMG_0009,4,BDA-EHHO-VC-Calibrated,0.4966122317233141,0.001932188279448,0.0581832731365441,0.3071895424836601
IMG_0009,4,BEHHO-VC-Calibrated,0.4807945364113912,0.0018823445192434,0.0583797312769275,0.1738562091503268
IMG_0009,4,MO-BDA-EHHO-VC,0.452903288289247,0.0015167842910255,0.0582091797045068,0.0732026143790849
IMG_0009,5,EHHO-VC,0.4540852712194431,0.0029439087905397,0.0579925720112636,0.0823529411764705
IMG_0009,5,BEHHO-VC-Calibrated,0.4691415928178208,0.0028898833477472,0.0578716746941045,0.0915032679738562
IMG_0009,5,BDA-EHHO-VC-Calibrated,0.468042697161476,0.002273279318322,0.0579623476819738,0.0875816993464052
