run_key,experiment_id,filename,run_index,seed,runtime_s,evaluations,budget_compliant,archive_size,mean_diversity,final_diversity,injection_count,bda_proposals,ehho_proposals,bda_fraction,cache_hit_rate
IMG_0010|r3,IMG_0010,109053.jpg,3,880750381,111.4405834999634,600,True,46,0.927351851851852,0.931111111111111,0,297,273,0.5210526315789473,0.0
IMG_0010|r4,IMG_0010,109053.jpg,4,1227626175,121.8212377000018,600,True,97,0.9388981481481482,0.9233333333333332,0,278,292,0.48771929824561405,0.0
IMG_0010|r5,IMG_0010,109053.jpg,5,293001441,125.07914220000384,600,True,77,0.9418981481481483,0.8994444444444444,0,283,287,0.4964912280701754,0.011666666666666667
IMG_0011|r1,IMG_0011,119082.jpg,1,1083765001,118.74051360000158,600,True,70,0.9436574074074076,0.9272222222222223,0,286,284,0.5017543859649123,0.006666666666666667
IMG_0011|r2,IMG_0011,119082.jpg,2,127995402,105.05757399997674,600,True,88,0.9464722222222222,0.8944444444444445,0,271,299,0.47543859649122805,0.0016666666666666668
IMG_0011|r3,IMG_0011,119082.jpg,3,531302282,121.567892400024,600,True,97,0.9434074074074073,0.9470370370370369,0,289,281,0.5070175438596491,0.0033333333333333335
IMG_0011|r4,IMG_0011,119082.jpg,4,755072661,111.2522309999913,600,True,100,0.9504814814814815,0.9696296296296296,0,287,283,0.5035087719298246,0.0016666666666666668
IMG_0011|r5,IMG_0011,119082.jpg,5,487122781,90.06744549999712,600,True,69,0.935074074074074,0.9216666666666667,0,280,290,0.49122807017543857,0.0
IMG_0012|r1,IMG_0012,12084.jpg,1,1009157700,93.69045699998969,600,True,58,0.9386944444444442,0.9187037037037037,0,274,296,0.4807017543859649,0.0016666666666666668
IMG_0012|r2,IMG_0012,12084.jpg,2,214489821,117.3196952000144,600,True,70,0.9302314814814814,0.9344444444444443,0,285,285,0.5,0.0016666666666666668
IMG_0012|r3,IMG_0012,12084.jpg,3,1224693685,112.10394749999978,600,True,41,0.881462962962963,0.8464814814814815,0,272,298,0.47719298245614034,0.01
IMG_0012|r4,IMG_0012,12084.jpg,4,136074952,104.26032800000394,600,True,59,0.8869999999999999,0.8518518518518517,0,286,284,0.5017543859649123,0.013333333333333334
IMG_0012|r5,IMG_0012,12084.jpg,5,676962929,121.7497210999718,600,True,50,0.9062129629629629,0.8333333333333334,0,276,294,0.4842105263157895,0.0
IMG_0013|r1,IMG_0013,123074.jpg,1,1375342256,140.96158800000558,600,True,100,0.9503148148148147,0.937037037037037,0,280,290,0.49122807017543857,0.0
IMG_0013|r2,IMG_0013,123074.jpg,2,638898097,140.40243979997467,600,True,100,0.9497592592592591,0.956111111111111,0,297,273,0.5210526315789473,0.0
IMG_0013|r3,IMG_0013,123074.jpg,3,2771910,147.18260249996092,600,True,100,0.9435185185185183,0.9398148148148149,0,295,275,0.5175438596491229,0.0016666666666666668
IMG_0013|r4,IMG_0013,123074.jpg,4,1587257576,167.47061159997247,600,True,100,0.9555277777777776,0.965925925925926,0,278,292,0.48771929824561405,0.0033333333333333335
IMG_0013|r5,IMG_0013,123074.jpg,5,1973777458,173.2325770999887,600,True,100,0.9450092592592594,0.9672222222222221,0,281,289,0.49298245614035086,0.005
IMG_0014|r1,IMG_0014,126007.jpg,1,1328554748,139.0555444000056,600,True,100,0.9434166666666666,0.9044444444444443,0,269,301,0.47192982456140353,0.0016666666666666668
IMG_0014|r2,IMG_0014,126007.jpg,2,368830938,143.56917550001526,600,True,100,0.9614814814814816,0.9390740740740741,0,270,300,0.47368421052631576,0.0
IMG_0014|r3,IMG_0014,126007.jpg,3,668585395,134.15922839997802,600,True,100,0.939398148148148,0.9383333333333334,0,274,296,0.4807017543859649,0.006666666666666667
IMG_0014|r4,IMG_0014,126007.jpg,4,1735346984,124.87292029999662,600,True,100,0.9380462962962964,0.9412962962962963,0,265,305,0.4649122807017544,0.0
IMG_0014|r5,IMG_0014,126007.jpg,5,1860065653,144.24738499999512,600,True,100,0.9515555555555556,0.9288888888888888,0,284,286,0.4982456140350877,0.0
IMG_0015|r1,IMG_0015,130026.jpg,1,1894544977,130.08325560000958,600,True,45,0.9341296296296295,0.9061111111111111,0,278,292,0.48771929824561405,0.0
IMG_0015|r2,IMG_0015,130026.jpg,2,953508513,159.768186900008,600,True,81,0.9438148148148148,0.9416666666666668,0,290,280,0.5087719298245614,0.0
IMG_0015|r3,IMG_0015,130026.jpg,3,427893494,145.72807569999713,600,True,64,0.9247962962962962,0.8527777777777777,0,271,299,0.47543859649122805,0.0
IMG_0015|r4,IMG_0015,130026.jpg,4,744269294,134.5924801999936,600,True,51,0.9264629629629629,0.892962962962963,0,260,310,0.45614035087719296,0.0016666666666666668
IMG_0015|r5,IMG_0015,130026.jpg,5,321603420,148.85526009998284,600,True,66,0.9258611111111111,0.9001851851851853,0,278,292,0.48771929824561405,0.0
IMG_0016|r1,IMG_0016,134035.jpg,1,1103740145,175.7139742000145,600,True,100,0.9537777777777776,0.9444444444444445,0,289,281,0.5070175438596491,0.0016666666666666668
IMG_0016|r2,IMG_0016,134035.jpg,2,1059878554,152.3489402999985,600,True,100,0.9252314814814813,0.8794444444444444,0,297,273,0.5210526315789473,0.005
IMG_0016|r3,IMG_0016,134035.jpg,3,44484449,139.0625299999956,600,True,99,0.9409907407407406,0.91,0,273,297,0.4789473684210526,0.0033333333333333335
IMG_0016|r4,IMG_0016,134035.jpg,4,1224561983,81.1396659000311,600,True,50,0.9289907407407407,0.887962962962963,0,288,282,0.5052631578947369,0.0016666666666666668
IMG_0016|r5,IMG_0016,134035.jpg,5,1310023238,78.72822819999419,600,True,65,0.940324074074074,0.9090740740740743,0,282,288,0.49473684210526314,0.0033333333333333335
IMG_0017|r1,IMG_0017,14037.jpg,1,1099459433,50.48638850002317,600,True,58,0.9270370370370369,0.893148148148148,0,278,292,0.48771929824561405,0.0016666666666666668
IMG_0017|r2,IMG_0017,14037.jpg,2,1198963768,70.5684894999722,600,True,57,0.9237314814814814,0.8774074074074075,0,269,301,0.47192982456140353,0.0
IMG_0017|r3,IMG_0017,14037.jpg,3,152058514,50.86665959999664,600,True,40,0.8962129629629632,0.8477777777777779,0,292,278,0.512280701754386,0.0
IMG_0017|r4,IMG_0017,14037.jpg,4,1248507780,48.43047059996752,600,True,38,0.9375925925925925,0.9248148148148149,0,268,302,0.47017543859649125,0.0016666666666666668
IMG_0017|r5,IMG_0017,14037.jpg,5,1909711882,55.15457720000995,600,True,90,0.9390555555555554,0.9116666666666666,0,272,298,0.47719298245614034,0.0
IMG_0018|r1,IMG_0018,143090.jpg,1,309818230,61.980120400025044,600,True,100,0.9399166666666667,0.9259259259259259,0,281,289,0.49298245614035086,0.0033333333333333335
IMG_0018|r2,IMG_0018,143090.jpg,2,660160220,59.623141399992164,600,True,100,0.9516296296296296,0.9196296296296297,0,305,265,0.5350877192982456,0.01
IMG_0018|r3,IMG_0018,143090.jpg,3,2144989769,60.712008800008334,600,True,100,0.9401111111111111,0.9551851851851851,0,285,285,0.5,0.005
IMG_0018|r4,IMG_0018,143090.jpg,4,1194556771,60.99572079995414,600,True,100,0.9478888888888888,0.9451851851851852,0,253,317,0.443859649122807,0.0
IMG_0018|r5,IMG_0018,143090.jpg,5,74972844,64.32748360000551,600,True,98,0.9456296296296296,0.9409259259259258,0,264,306,0.4631578947368421,0.0
IMG_0019|r1,IMG_0019,145086.jpg,1,1034515459,64.16372820001561,600,True,97,0.9502407407407405,0.949074074074074,0,279,291,0.48947368421052634,0.005
IMG_0019|r2,IMG_0019,145086.jpg,2,1275834657,52.25166710000485,600,True,68,0.9332962962962963,0.8892592592592591,0,282,288,0.49473684210526314,0.0016666666666666668
IMG_0019|r3,IMG_0019,145086.jpg,3,1158007498,52.75155270000687,600,True,74,0.9435185185185183,0.9383333333333334,0,290,280,0.5087719298245614,0.006666666666666667
IMG_0019|r4,IMG_0019,145086.jpg,4,618444789,59.125089499983005,600,True,100,0.9483055555555555,0.9390740740740741,0,301,269,0.5280701754385965,0.0033333333333333335
IMG_0019|r5,IMG_0019,145086.jpg,5,1484499674,74.99801669997396,600,True,100,0.9471111111111112,0.8920370370370371,0,255,315,0.4473684210526316,0.0033333333333333335
IMG_0020|r1,IMG_0020,147091.jpg,1,1961689900,53.25654819997726,600,True,43,0.9405555555555555,0.9485185185185184,0,278,292,0.48771929824561405,0.0
IMG_0020|r2,IMG_0020,147091.jpg,2,245698681,59.074166999955196,600,True,100,0.9401851851851853,0.8909259259259259,0,290,280,0.5087719298245614,0.0
IMG_0020|r3,IMG_0020,147091.jpg,3,904476097,59.876510600035544,600,True,97,0.9389814814814814,0.9324074074074075,0,280,290,0.49122807017543857,0.0
IMG_0020|r4,IMG_0020,147091.jpg,4,701964641,57.11935270001413,600,True,96,0.9346111111111111,0.924074074074074,0,283,287,0.4964912280701754,0.0016666666666666668
IMG_0020|r5,IMG_0020,147091.jpg,5,1819755982,59.461274400004186,600,True,100,0.9561296296296294,0.9661111111111111,0,291,279,0.5105263157894737,0.005
IMG_0021|r1,IMG_0021,148026.jpg,1,1440651205,55.1496023000218,600,True,71,0.9413148148148149,0.9551851851851851,0,285,285,0.5,0.008333333333333333
IMG_0021|r2,IMG_0021,148026.jpg,2,2114358672,78.345493300003,600,True,76,0.9458703703703704,0.9140740740740739,0,291,279,0.5105263157894737,0.0
IMG_0021|r3,IMG_0021,148026.jpg,3,1319327308,123.16655909997644,600,True,50,0.9207222222222221,0.9222222222222222,0,258,312,0.45263157894736844,0.008333333333333333
