experiment_id,dataset,split,filename,channel,correlation_mode,share_aggregation,best_NX,best_objective
IMG_0173,BSDS500,test,188025.jpg,B,signed_cc,share1,27,5.248680557793408
IMG_0173,BSDS500,test,188025.jpg,B,signed_cc,share2,2,5.259077545936849
IMG_0173,BSDS500,test,188025.jpg,B,signed_cc,mean,2,5.254960317360926
IMG_0173,BSDS500,test,188025.jpg,B,signed_cc,max,2,5.259077545936849
IMG_0173,BSDS500,test,188025.jpg,B,abs_cc,share1,11,5.252652302748082
IMG_0173,BSDS500,test,188025.jpg,B,abs_cc,share2,2,5.260987690435893
IMG_0173,BSDS500,test,188025.jpg,B,abs_cc,mean,2,5.259023428560964
IMG_0173,BSDS500,test,188025.jpg,B,abs_cc,max,2,5.260987690435893
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,R,signed_cc,share1,7,5.649961095154247
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,R,signed_cc,share2,182,5.649989513785882
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,R,signed_cc,mean,182,5.652966840084021
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,R,signed_cc,max,182,5.655944166382161
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,R,abs_cc,share1,2,5.657642402965868
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,R,abs_cc,share2,189,5.66111992899571
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,R,abs_cc,mean,2,5.660625735167834
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,R,abs_cc,max,189,5.66111992899571
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,G,signed_cc,share1,219,5.218125915365982
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,G,signed_cc,share2,85,5.237471279413497
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,G,signed_cc,mean,229,5.2312262627938
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,G,signed_cc,max,85,5.237471279413497
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,G,abs_cc,share1,219,5.232286037410149
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,G,abs_cc,share2,85,5.241022439395933
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,G,abs_cc,mean,229,5.238478316345244
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,G,abs_cc,max,85,5.241022439395933
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,B,signed_cc,share1,34,5.037312907142708
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,B,signed_cc,share2,97,5.027396516085703
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,B,signed_cc,mean,5,5.0364476767823145
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,B,signed_cc,max,5,5.039509429442719
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,B,abs_cc,share1,34,5.037312907142708
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,B,abs_cc,share2,97,5.031673979539151
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,B,abs_cc,mean,5,5.036558763479345
IMG_0305,USC-SIPI Miscellaneous,classical,4.1.05.tiff,B,abs_cc,max,5,5.039509429442719
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,R,signed_cc,share1,26,5.393753393228014
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,R,signed_cc,share2,7,5.385945473829623
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,R,signed_cc,mean,7,5.391221464727211
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,R,signed_cc,max,26,5.393753393228014
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,R,abs_cc,share1,26,5.393753393228014
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,R,abs_cc,share2,7,5.389063955227678
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,R,abs_cc,mean,6,5.392502619087015
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,R,abs_cc,max,26,5.393753393228014
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,G,signed_cc,share1,33,4.689007422236251
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,G,signed_cc,share2,14,4.719607641000768
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,G,signed_cc,mean,155,4.705171639836017
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,G,signed_cc,max,14,4.719607641000768
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,G,abs_cc,share1,2,4.692785380491888
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,G,abs_cc,share2,14,4.719607641000768
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,G,abs_cc,mean,14,4.707237231189346
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,G,abs_cc,max,14,4.719607641000768
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,B,signed_cc,share1,211,4.702171402536827
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,B,signed_cc,share2,13,4.711750681622253
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,B,signed_cc,mean,93,4.709207778046463
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,B,signed_cc,max,65,4.712189214484692
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,B,abs_cc,share1,211,4.709200236745968
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,B,abs_cc,share2,13,4.714778527862754
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,B,abs_cc,mean,103,4.71438351594354
IMG_0313,USC-SIPI Miscellaneous,classical,4.2.07.tiff,B,abs_cc,max,57,4.71535367741296
