run_key,mechanism,variant,experiment_id,filename,run_index,population_size,evaluation_budget,seed,best_score,level_R,level_G,level_B,evaluations,runtime_s,diversity_threshold,injection_fraction,injection_count,mean_diversity,final_diversity,rho_max,rho_min,bda_proposals,ehho_proposals,bda_fraction
BEHHO|IMG_0015|r1|thr0.75_frac0.30,BEHHO,thr0.75_frac0.30,IMG_0015,130026.jpg,1,20,400,1025604623,4.885587462969855,93,255,255,400,59.586596700013615,0.75,0.3,10,0.7101458333333331,0.6766666666666666,,,,,
BEHHO|IMG_0015|r1|thr0.80_frac0.20,BEHHO,thr0.80_frac0.20,IMG_0015,130026.jpg,1,20,400,1025604623,4.885545658632018,95,255,255,400,60.685761100030504,0.8,0.2,6,0.8003541666666667,0.7004166666666666,,,,,
BEHHO|IMG_0015|r1|thr0.80_frac0.30,BEHHO,thr0.80_frac0.30,IMG_0015,130026.jpg,1,20,400,1025604623,4.88547539422419,63,239,247,400,61.08757939998759,0.8,0.3,11,0.7364791666666666,0.5524999999999999,,,,,
HYBRID|IMG_0015|r1|balanced_80_20,HYBRID,balanced_80_20,IMG_0015,130026.jpg,1,20,400,1025604623,4.885476158971394,63,144,237,400,59.23176719999174,,,,,,0.8,0.2,98,102,0.49
HYBRID|IMG_0015|r1|balanced_70_30,HYBRID,balanced_70_30,IMG_0015,130026.jpg,1,20,400,1025604623,4.8848900660938135,32,140,242,400,60.36558789998526,,,,,,0.7,0.3,97,103,0.485
HYBRID|IMG_0015|r1|balanced_65_35,HYBRID,balanced_65_35,IMG_0015,130026.jpg,1,20,400,1025604623,4.885147936860264,58,139,255,400,63.3354947999469,,,,,,0.65,0.35,100,100,0.5
BEHHO|IMG_0015|r2|thr0.70_frac0.20,BEHHO,thr0.70_frac0.20,IMG_0015,130026.jpg,2,20,400,1455235506,4.885032019115998,2,50,112,400,62.922417900001165,0.7,0.2,0,0.8720208333333334,0.84625,,,,,
BEHHO|IMG_0015|r2|thr0.70_frac0.30,BEHHO,thr0.70_frac0.30,IMG_0015,130026.jpg,2,20,400,1455235506,4.885032019115998,2,50,112,400,60.01964919996681,0.7,0.3,0,0.8720208333333334,0.84625,,,,,
BEHHO|IMG_0015|r2|thr0.75_frac0.20,BEHHO,thr0.75_frac0.20,IMG_0015,130026.jpg,2,20,400,1455235506,4.885032019115998,2,50,112,400,61.3987058000057,0.75,0.2,0,0.8720208333333334,0.84625,,,,,
BEHHO|IMG_0015|r2|thr0.75_frac0.30,BEHHO,thr0.75_frac0.30,IMG_0015,130026.jpg,2,20,400,1455235506,4.885032019115998,2,50,112,400,58.33603020000737,0.75,0.3,0,0.8720208333333334,0.84625,,,,,
BEHHO|IMG_0015|r2|thr0.80_frac0.20,BEHHO,thr0.80_frac0.20,IMG_0015,130026.jpg,2,20,400,1455235506,4.885032019115998,2,50,112,400,59.737757300026715,0.8,0.2,1,0.8708333333333333,0.7920833333333333,,,,,
BEHHO|IMG_0015|r2|thr0.80_frac0.30,BEHHO,thr0.80_frac0.30,IMG_0015,130026.jpg,2,20,400,1455235506,4.885032019115998,2,50,112,400,62.38946750003379,0.8,0.3,1,0.8761666666666666,0.8395833333333332,,,,,
HYBRID|IMG_0015|r2|balanced_80_20,HYBRID,balanced_80_20,IMG_0015,130026.jpg,2,20,400,1455235506,4.884318178532983,224,8,104,400,59.605873900000006,,,,,,0.8,0.2,94,106,0.47
HYBRID|IMG_0015|r2|balanced_70_30,HYBRID,balanced_70_30,IMG_0015,130026.jpg,2,20,400,1455235506,4.884365123901637,11,8,104,400,61.16476890002377,,,,,,0.7,0.3,98,102,0.49
HYBRID|IMG_0015|r2|balanced_65_35,HYBRID,balanced_65_35,IMG_0015,130026.jpg,2,20,400,1455235506,4.8843180382706315,28,43,104,400,59.977220400003716,,,,,,0.65,0.35,94,106,0.47
BEHHO|IMG_0034|r1|thr0.70_frac0.20,BEHHO,thr0.70_frac0.20,IMG_0034,182053.jpg,1,20,400,747861275,5.265948430864512,69,38,40,400,59.97690569999395,0.7,0.2,0,0.8614374999999999,0.8520833333333333,,,,,
BEHHO|IMG_0034|r1|thr0.70_frac0.30,BEHHO,thr0.70_frac0.30,IMG_0034,182053.jpg,1,20,400,747861275,5.265948430864512,69,38,40,400,58.60139939998044,0.7,0.3,0,0.8614374999999999,0.8520833333333333,,,,,
BEHHO|IMG_0034|r1|thr0.75_frac0.20,BEHHO,thr0.75_frac0.20,IMG_0034,182053.jpg,1,20,400,747861275,5.265948430864512,69,38,40,400,47.25196829997003,0.75,0.2,0,0.8614374999999999,0.8520833333333333,,,,,
BEHHO|IMG_0034|r1|thr0.75_frac0.30,BEHHO,thr0.75_frac0.30,IMG_0034,182053.jpg,1,20,400,747861275,5.265948430864512,69,38,40,400,48.2503956000437,0.75,0.3,0,0.8614374999999999,0.8520833333333333,,,,,
BEHHO|IMG_0034|r1|thr0.80_frac0.20,BEHHO,thr0.80_frac0.20,IMG_0034,182053.jpg,1,20,400,747861275,5.266211426978176,30,252,14,400,52.15266160003375,0.8,0.2,2,0.8481875000000001,0.8329166666666667,,,,,
BEHHO|IMG_0034|r1|thr0.80_frac0.30,BEHHO,thr0.80_frac0.30,IMG_0034,182053.jpg,1,20,400,747861275,5.266175322996407,57,238,14,400,63.792777199996635,0.8,0.3,4,0.8476874999999999,0.8266666666666668,,,,,
HYBRID|IMG_0034|r1|balanced_80_20,HYBRID,balanced_80_20,IMG_0034,182053.jpg,1,20,400,747861275,5.26622630143501,78,67,208,400,60.6998018999584,,,,,,0.8,0.2,97,103,0.485
HYBRID|IMG_0034|r1|balanced_70_30,HYBRID,balanced_70_30,IMG_0034,182053.jpg,1,20,400,747861275,5.26598925367639,46,65,38,400,58.21774910000386,,,,,,0.7,0.3,103,97,0.515
HYBRID|IMG_0034|r1|balanced_65_35,HYBRID,balanced_65_35,IMG_0034,182053.jpg,1,20,400,747861275,5.266100640099615,78,67,214,400,63.97956979996525,,,,,,0.65,0.35,100,100,0.5
BEHHO|IMG_0034|r2|thr0.70_frac0.20,BEHHO,thr0.70_frac0.20,IMG_0034,182053.jpg,2,20,400,1360068723,5.270000710686921,198,176,4,400,63.51897510001436,0.7,0.2,1,0.8384791666666667,0.5491666666666667,,,,,
BEHHO|IMG_0034|r2|thr0.70_frac0.30,BEHHO,thr0.70_frac0.30,IMG_0034,182053.jpg,2,20,400,1360068723,5.270000710686921,198,176,4,400,59.71843519998947,0.7,0.3,1,0.843,0.67625,,,,,
BEHHO|IMG_0034|r2|thr0.75_frac0.20,BEHHO,thr0.75_frac0.20,IMG_0034,182053.jpg,2,20,400,1360068723,5.270000710686921,198,176,4,400,60.21043859998463,0.75,0.2,1,0.8384791666666667,0.5491666666666667,,,,,
BEHHO|IMG_0034|r2|thr0.75_frac0.30,BEHHO,thr0.75_frac0.30,IMG_0034,182053.jpg,2,20,400,1360068723,5.26962499136805,2,176,4,400,59.43356929998845,0.75,0.3,2,0.8487500000000001,0.7912500000000001,,,,,
BEHHO|IMG_0034|r2|thr0.80_frac0.20,BEHHO,thr0.80_frac0.20,IMG_0034,182053.jpg,2,20,400,1360068723,5.269133966981812,30,176,4,400,60.14687429997139,0.8,0.2,4,0.8514375000000001,0.7875,,,,,
BEHHO|IMG_0034|r2|thr0.80_frac0.30,BEHHO,thr0.80_frac0.30,IMG_0034,182053.jpg,2,20,400,1360068723,5.268825691157213,32,176,4,400,64.28031679999549,0.8,0.3,4,0.8558541666666665,0.8716666666666667,,,,,
HYBRID|IMG_0034|r2|balanced_80_20,HYBRID,balanced_80_20,IMG_0034,182053.jpg,2,20,400,1360068723,5.270405863591462,32,136,107,400,62.740972300001886,,,,,,0.8,0.2,96,104,0.48
HYBRID|IMG_0034|r2|balanced_70_30,HYBRID,balanced_70_30,IMG_0034,182053.jpg,2,20,400,1360068723,5.270030432731749,78,240,4,400,63.1934744999744,,,,,,0.7,0.3,90,110,0.45
HYBRID|IMG_0034|r2|balanced_65_35,HYBRID,balanced_65_35,IMG_0034,182053.jpg,2,20,400,1360068723,5.270087888631257,16,244,8,400,61.2741384000401,,,,,,0.65,0.35,113,87,0.565
