run_key,experiment_id,filename,run_index,algorithm,population_size,evaluation_budget,master_seed,best_score,level_R,level_G,level_B,evaluations,budget_compliant,runtime_s,iterations_completed,convergence_points,final_convergence_value,diversity_mean,diversity_final,injection_count,bda_proposals,ehho_proposals,bda_fraction,paired_rank
IMG_0005|r2|n20|b300|HHO-VC,IMG_0005,105025.jpg,2,HHO-VC,20,300,529390759,4.61317244013819,24,2,3,300,True,49.65721009997651,8,8,4.61317244013819,,,0,0,0,,3.0
IMG_0005|r2|n20|b300|EHHO-VC,IMG_0005,105025.jpg,2,EHHO-VC,20,300,529390759,4.612744562001453,36,2,10,300,True,52.18727699998999,10,10,4.612744562001453,0.2791200198902375,0.071294288199856,0,0,0,,2.0
IMG_0005|r2|n20|b300|BEHHO-VC-Calibrated,IMG_0005,105025.jpg,2,BEHHO-VC-Calibrated,20,300,529390759,4.612660821968706,25,3,3,300,True,61.42962879996048,15,15,4.612660821968706,0.9193055555555556,0.9275,0,0,0,,1.0
IMG_0005|r2|n20|b300|BDA-EHHO-VC-Calibrated,IMG_0005,105025.jpg,2,BDA-EHHO-VC-Calibrated,20,300,529390759,4.613451186786675,34,3,243,300,True,62.114132099959534,8,8,4.613451186786675,,,0,68,72,0.4857142857142857,4.0
IMG_0005|r2|n20|b600|HHO-VC,IMG_0005,105025.jpg,2,HHO-VC,20,600,529390759,4.6108066306223465,29,3,10,600,True,99.35089619999052,17,17,4.6108066306223465,,,0,0,0,,1.0
IMG_0005|r2|n20|b600|EHHO-VC,IMG_0005,105025.jpg,2,EHHO-VC,20,600,529390759,4.611270004750852,34,3,10,600,True,121.2206025000196,19,19,4.611270004750852,0.1771509287796067,0.0641661904409421,0,0,0,,2.0
IMG_0005|r2|n20|b600|BEHHO-VC-Calibrated,IMG_0005,105025.jpg,2,BEHHO-VC-Calibrated,20,600,529390759,4.612207419328775,48,3,3,600,True,126.63915959995938,30,30,4.612207419328775,0.8827638888888888,0.83625,1,0,0,,3.0
IMG_0005|r2|n20|b600|BDA-EHHO-VC-Calibrated,IMG_0005,105025.jpg,2,BDA-EHHO-VC-Calibrated,20,600,529390759,4.613359532107191,44,3,180,600,True,114.51205790002132,15,15,4.613359532107191,,,0,143,157,0.4766666666666667,4.0
IMG_0005|r2|n30|b300|HHO-VC,IMG_0005,105025.jpg,2,HHO-VC,30,300,529390759,4.613075118630426,29,145,212,300,True,56.41532849997748,6,6,4.613075118630426,,,0,0,0,,1.0
IMG_0005|r2|n30|b300|EHHO-VC,IMG_0005,105025.jpg,2,EHHO-VC,30,300,529390759,4.613526755171257,29,151,223,300,True,41.86715319997165,7,7,4.613526755171257,0.4371996369045143,0.3679704033310945,0,0,0,,4.0
IMG_0005|r2|n30|b300|BEHHO-VC-Calibrated,IMG_0005,105025.jpg,2,BEHHO-VC-Calibrated,30,300,529390759,4.613364424011851,72,210,10,300,True,56.67573420004919,10,10,4.613364424011851,0.9256851851851852,0.9251851851851852,0,0,0,,3.0
IMG_0005|r2|n30|b300|BDA-EHHO-VC-Calibrated,IMG_0005,105025.jpg,2,BDA-EHHO-VC-Calibrated,30,300,529390759,4.613319169656162,29,184,152,300,True,62.47945859999163,5,5,4.613610769351458,,,0,68,82,0.4533333333333333,2.0
IMG_0005|r2|n30|b600|HHO-VC,IMG_0005,105025.jpg,2,HHO-VC,30,600,529390759,4.613215190363703,29,145,213,600,True,124.751905800018,11,11,4.613215190363703,,,0,0,0,,3.5
IMG_0005|r2|n30|b600|EHHO-VC,IMG_0005,105025.jpg,2,EHHO-VC,30,600,529390759,4.613215190363703,29,145,213,600,True,127.42973090003944,13,13,4.613215190363703,0.4306745629403268,0.4272854435055534,0,0,0,,3.5
IMG_0005|r2|n30|b600|BEHHO-VC-Calibrated,IMG_0005,105025.jpg,2,BEHHO-VC-Calibrated,30,600,529390759,4.612877669664088,115,3,11,600,True,102.3475247999886,20,20,4.612877669664088,0.9184351851851852,0.9425925925925924,0,0,0,,1.0
IMG_0005|r2|n30|b600|BDA-EHHO-VC-Calibrated,IMG_0005,105025.jpg,2,BDA-EHHO-VC-Calibrated,30,600,529390759,4.612919941318147,29,119,19,600,True,106.11251889995764,10,10,4.612919941318147,,,0,152,148,0.5066666666666667,2.0
IMG_0005|r3|n10|b300|HHO-VC,IMG_0005,105025.jpg,3,HHO-VC,10,300,572555939,4.6088395327524445,38,167,178,300,True,59.82551250001416,18,18,4.6088395327524445,,,0,0,0,,3.0
IMG_0005|r3|n10|b300|EHHO-VC,IMG_0005,105025.jpg,3,EHHO-VC,10,300,572555939,4.608769143612885,29,136,142,300,True,54.23061130003771,21,21,4.608769143612885,0.3518933914433509,0.4378369943497479,0,0,0,,2.0
IMG_0005|r3|n10|b300|BEHHO-VC-Calibrated,IMG_0005,105025.jpg,3,BEHHO-VC-Calibrated,10,300,572555939,4.60918439069271,30,212,94,300,True,56.82014239998534,30,30,4.60918439069271,0.8336666666666666,0.8649999999999999,2,0,0,,4.0
IMG_0005|r3|n10|b300|BDA-EHHO-VC-Calibrated,IMG_0005,105025.jpg,3,BDA-EHHO-VC-Calibrated,10,300,572555939,4.608258041610863,29,145,4,300,True,63.86446330003673,15,15,4.608258041610863,,,0,74,76,0.4933333333333333,1.0
IMG_0005|r3|n10|b600|HHO-VC,IMG_0005,105025.jpg,3,HHO-VC,10,600,572555939,4.608674070848586,38,164,175,600,True,116.72988679999251,35,35,4.608674070848586,,,0,0,0,,3.0
IMG_0005|r3|n10|b600|EHHO-VC,IMG_0005,105025.jpg,3,EHHO-VC,10,600,572555939,4.608714918956903,33,136,141,600,True,81.78979539999273,40,40,4.608714918956903,0.3356038340967467,0.4412408169225458,0,0,0,,4.0
