experiment_id,run_index,algorithm,set_size,hypervolume,igd,epsilon_additive,mean_nn_distance,reference_front_size
IMG_0006,3,EHHO-VC,1,0.16754727413927908,0.6464216522867064,0.8494318181818653,0.0,15
IMG_0006,3,BEHHO-VC-Calibrated,1,0.06691310158177702,0.7133317560326426,0.846590909091151,0.0,15
IMG_0006,3,BDA-EHHO-VC-Calibrated,1,0.3376108444485784,0.5612449265260485,0.5750008069934607,0.0,15
IMG_0006,3,MO-BDA-EHHO-VC,14,0.9305284886594762,0.012534563435564056,0.0005622315016879931,0.3429288244444511,15
IMG_0006,4,HHO-VC,1,0.26974899021862825,0.6938603608694112,0.7397656898192384,0.0,31
IMG_0006,4,EHHO-VC,1,0.26974899021862825,0.6938603608694112,0.7397656898192384,0.0,31
IMG_0006,4,BEHHO-VC-Calibrated,1,0.3596620782403745,0.5447575092088168,0.5620745361962848,0.0,31
IMG_0006,4,BDA-EHHO-VC-Calibrated,1,0.14974058792685171,0.516820173327608,0.670965783387443,0.0,31
IMG_0006,4,MO-BDA-EHHO-VC,31,0.7410338003944281,0.02081187314913531,0.23250329907765704,0.1869018920202657,31
IMG_0006,5,HHO-VC,1,0.3752242007700162,0.5692077467991752,0.426646549088366,0.0,18
IMG_0006,5,EHHO-VC,1,0.014084598385636353,1.0558483639849865,1.0,0.0,18
IMG_0006,5,BEHHO-VC-Calibrated,1,0.13986848248395045,0.8202592049447056,0.787878787878788,0.0,18
IMG_0006,5,BDA-EHHO-VC-Calibrated,1,0.11380053396869175,0.758154291734489,0.7111111111111111,0.0,18
IMG_0006,5,MO-BDA-EHHO-VC,17,1.136142435886846,0.03287091400901017,0.059620596205865795,0.19873526492457147,18
IMG_0007,1,HHO-VC,1,0.004188345785033697,1.208121955530439,1.0,0.0,21
IMG_0007,1,EHHO-VC,1,0.22422543711714166,0.5868108212181055,0.6053215077605322,0.0,21
IMG_0007,1,BEHHO-VC-Calibrated,1,0.10894568892162239,0.7367393459034054,0.7405764966740578,0.0,21
IMG_0007,1,BDA-EHHO-VC-Calibrated,1,0.1389163766267279,0.6826685222739144,0.6917960088691797,0.0,21
IMG_0007,1,MO-BDA-EHHO-VC,21,1.2097057950828258,0.0,0.0,0.18950127909541267,21
IMG_0007,2,HHO-VC,1,0.0006414219704079737,1.3599102407119739,1.0,0.0,30
IMG_0007,2,EHHO-VC,1,0.0006414219704079737,1.3599102407119739,1.0,0.0,30
IMG_0007,2,BEHHO-VC-Calibrated,1,0.0024448872701515593,1.1718376038688312,1.0,0.0,30
