run_key,experiment_id,filename,run_index,algorithm,population_size,evaluation_budget,master_seed,best_score,level_R,level_G,level_B,evaluations,budget_compliant,runtime_s,iterations_completed,convergence_points,final_convergence_value,diversity_mean,diversity_final,injection_count,bda_proposals,ehho_proposals,bda_fraction
IMG_0021|r2|n10|b600|HHO-VC,IMG_0021,148026.jpg,2,HHO-VC,10,600,1178661521,4.563523980210504,72,47,117,600,True,0.6445581000298262,33,33,4.563523980210504,nan,nan,0,0,0,nan
IMG_0021|r2|n10|b600|EHHO-VC,IMG_0021,148026.jpg,2,EHHO-VC,10,600,1178661521,4.563523980210504,72,47,117,600,True,0.0972745000035502,39,39,4.563523980210504,0.18486050793250508,0.24011803429224163,0,0,0,nan
IMG_0021|r2|n10|b600|BEHHO-VC-Calibrated,IMG_0021,148026.jpg,2,BEHHO-VC-Calibrated,10,600,1178661521,4.562492810694996,73,96,72,600,True,1.5409280000021681,60,60,4.562492810694996,0.8394999999999998,0.8383333333333333,3,0,0,nan
IMG_0021|r2|n10|b600|BDA-EHHO-VC-Calibrated,IMG_0021,148026.jpg,2,BDA-EHHO-VC-Calibrated,10,600,1178661521,4.5635922794886,55,35,110,600,True,0.7729393999907188,30,30,4.5635922794886,nan,nan,0,145,155,0.48333333333333334
IMG_0021|r2|n20|b300|HHO-VC,IMG_0021,148026.jpg,2,HHO-VC,20,300,1178661521,4.562889403469359,48,105,159,300,True,0.11360390001209453,9,9,4.562889403469359,nan,nan,0,0,0,nan
IMG_0021|r2|n20|b300|EHHO-VC,IMG_0021,148026.jpg,2,EHHO-VC,20,300,1178661521,4.562819349724715,44,105,132,300,True,0.13629059999948367,10,10,4.562819349724715,0.3387277090947303,0.30466739936694176,0,0,0,nan
IMG_0021|r2|n20|b300|BEHHO-VC-Calibrated,IMG_0021,148026.jpg,2,BEHHO-VC-Calibrated,20,300,1178661521,4.563007021025421,32,44,62,300,True,0.2785970999975689,15,15,4.563007021025421,0.8479722222222225,0.8354166666666667,0,0,0,nan
IMG_0021|r2|n20|b300|BDA-EHHO-VC-Calibrated,IMG_0021,148026.jpg,2,BDA-EHHO-VC-Calibrated,20,300,1178661521,4.562977439084075,72,74,66,300,True,0.05537089996505529,8,8,4.562977439084075,nan,nan,0,64,76,0.45714285714285713
IMG_0021|r2|n20|b600|HHO-VC,IMG_0021,148026.jpg,2,HHO-VC,20,600,1178661521,4.562657636158241,43,96,141,600,True,0.021680900012142956,17,17,4.562657636158241,nan,nan,0,0,0,nan
IMG_0021|r2|n20|b600|EHHO-VC,IMG_0021,148026.jpg,2,EHHO-VC,20,600,1178661521,4.562659396035511,43,96,140,600,True,0.022470199968665838,20,20,4.562659396035511,0.35331455106086335,0.2788310711467056,0,0,0,nan
IMG_0021|r2|n20|b600|BEHHO-VC-Calibrated,IMG_0021,148026.jpg,2,BEHHO-VC-Calibrated,20,600,1178661521,4.563007021025421,32,44,62,600,True,0.04586000001290813,30,30,4.563007021025421,0.849486111111111,0.8966666666666666,0,0,0,nan
IMG_0021|r2|n20|b600|BDA-EHHO-VC-Calibrated,IMG_0021,148026.jpg,2,BDA-EHHO-VC-Calibrated,20,600,1178661521,4.562918198653798,28,44,68,600,True,0.094407600001432,15,15,4.562918198653798,nan,nan,0,164,136,0.5466666666666666
IMG_0021|r2|n30|b300|HHO-VC,IMG_0021,148026.jpg,2,HHO-VC,30,300,1178661521,4.562805474450177,48,105,160,300,True,0.010926100017968565,6,6,4.562805474450177,nan,nan,0,0,0,nan
IMG_0021|r2|n30|b300|EHHO-VC,IMG_0021,148026.jpg,2,EHHO-VC,30,300,1178661521,4.562805474450177,48,105,160,300,True,0.011888700013514608,7,7,4.562805474450177,0.3680239507548225,0.319058357402707,0,0,0,nan
IMG_0021|r2|n30|b300|BEHHO-VC-Calibrated,IMG_0021,148026.jpg,2,BEHHO-VC-Calibrated,30,300,1178661521,4.563475859476072,28,44,64,300,True,0.047173500002827495,10,10,4.563475859476072,0.8844444444444445,0.9249999999999999,0,0,0,nan
IMG_0021|r2|n30|b300|BDA-EHHO-VC-Calibrated,IMG_0021,148026.jpg,2,BDA-EHHO-VC-Calibrated,30,300,1178661521,4.56356414169803,24,66,143,300,True,0.021725200000219047,5,5,4.56356414169803,nan,nan,0,64,86,0.4266666666666667
IMG_0021|r2|n30|b600|HHO-VC,IMG_0021,148026.jpg,2,HHO-VC,30,600,1178661521,4.562465099999224,43,105,142,600,True,0.02212019998114556,11,11,4.562465099999224,nan,nan,0,0,0,nan
IMG_0021|r2|n30|b600|EHHO-VC,IMG_0021,148026.jpg,2,EHHO-VC,30,600,1178661521,4.562465099999224,43,105,142,600,True,0.023162400000728667,13,13,4.562465099999224,0.3449700701335249,0.27048906885533996,0,0,0,nan
