experiment_id,run_index,archive_file,archive_row,bits,level_R,level_G,level_B,old_f1_reconstruction,old_f2_security,old_f3_robustness,old_f4_complexity,B1_central_5pct,B1_central_10pct,B1_central_20pct,B2_random_block_5pct,B2_random_block_10pct,B2_random_block_20pct,B3_dropout_5pct,B3_dropout_10pct,B3_dropout_20pct,B4_crop_5pct,B4_crop_10pct,B4_crop_20pct,B1_central_mean,B1_central_max,B2_random_block_mean,B2_random_block_max,B3_dropout_mean,B3_dropout_max,B4_crop_mean,B4_crop_max
IMG_0090,1,IMG_0090_r1_archive.csv,0,011111000001111001100110,124,30,102,0.3684678912895235,0.3495697899944802,0.0,0.3346405228758169,0.02495450159001561,0.04995865743529295,0.09975108105949228,0.024917800618735195,0.049742769368937595,0.09947042657323031,0.024680323745744307,0.049356329730161505,0.09945531440858545,0.02472997800100604,0.049749246010928255,0.10042033406519388,0.058221413361600284,0.09975108105949228,0.058043665520301026,0.09947042657323031,0.057830655961497085,0.09945531440858545,0.05829985269237606,0.10042033406519388
IMG_0090,1,IMG_0090_r1_archive.csv,2,111110111101011000111110,251,214,62,0.3635525348623474,0.3497663921582563,0.0,0.6888888888888889,0.02493507166404363,0.04998024624192848,0.09966688471361368,0.02493507166404363,0.04963698421642347,0.0991638655190057,0.02474509016565091,0.04950097473461959,0.09951576306716493,0.024660893819772323,0.04980969466950775,0.10063622213154923,0.05819406753986193,0.09966688471361368,0.05791197379982427,0.0991638655190057,0.05792060932247848,0.09951576306716493,0.05836893687360976,0.10063622213154923
IMG_0090,1,IMG_0090_r1_archive.csv,4,111101100011100110001001,246,57,137,0.3662818764591986,0.3495687118320791,0.0,0.5751633986928104,0.02500415584527734,0.05000399392922757,0.0996431370263146,0.024965295993333376,0.04966936742637677,0.09937543582403396,0.024656576058445217,0.04944916159869431,0.09960859493569774,0.02470623031370695,0.04963266645509636,0.10034909100329661,0.05821709560027317,0.0996431370263146,0.05800336641458137,0.09937543582403396,0.05790477753094575,0.09960859493569774,0.058229329257366645,0.10034909100329661
IMG_0090,1,IMG_0090_r1_archive.csv,7,100001000001101000100000,132,26,32,0.3685944355612024,0.3496785862416673,0.0,0.2483660130718954,0.02495450159001561,0.04997808736126493,0.0997316511335203,0.024898370692763218,0.049734133846283377,0.09947258545389387,0.024768837852950004,0.049360647491488614,0.09961723045835195,0.02465873493910877,0.049721180562302056,0.10041385742320322,0.058221413361600284,0.0997316511335203,0.05803502999764682,0.09947258545389387,0.05791557193426352,0.09961723045835195,0.05826459097487135,0.10041385742320322
IMG_0090,1,IMG_0090_r1_archive.csv,9,111100011000000100011001,241,129,25,0.3660084182418152,0.3496245193298993,0.0,0.5163398692810457,0.024861669721482803,0.04990468541870411,0.09957189396441733,0.024976090396651145,0.04955710563187198,0.09923294970023942,0.024781791136931325,0.0494729092859934,0.09945531440858545,0.024671688223090092,0.049785946982208666,0.10074632504539047,0.058112749701534745,0.09957189396441733,0.05792204857625418,0.09923294970023942,0.057903338277170056,0.09945531440858545,0.05840132008356308,0.10074632504539047
IMG_0090,1,IMG_0090_r1_archive.csv,10,000000010000001000000000,2,2,2,0.3921122486337159,0.3493720421654753,0.0,0.0078431372549019,0.02498688479996891,0.050027741616526664,0.09987413725731484,0.025200613985660713,0.04967368518770388,0.09997992240982895,0.024673847103753647,0.04988957325405923,0.09954814627711824,0.024840080914847268,0.049772993698227345,0.10043112846851165,0.0582962545579368,0.09987413725731484,0.05828474052773117,0.09997992240982895,0.058037188878310365,0.09954814627711824,0.05834806769386209,0.10043112846851165
IMG_0090,1,IMG_0090_r1_archive.csv,11,000100000010111100101010,16,47,42,0.3703416642463091,0.3497987584267372,0.0,0.1372549019607843,0.02487678188612768,0.049975928480601374,0.09980289419541756,0.024958819351342715,0.04976435817557313,0.09943156672128635,0.0247364546429967,0.04933905868485308,0.09928692171682825,0.024777473375604216,0.04964561973907768,0.10029943674803488,0.058218534854048876,0.09980289419541756,0.0580515814160674,0.09943156672128635,0.05778747834822601,0.09928692171682825,0.05824084328757226,0.10029943674803488
IMG_0090,1,IMG_0090_r1_archive.csv,13,101010000001111100101000,168,31,40,0.3679221685887706,0.3497988285889795,0.0,0.3124183006535947,0.02495450159001561,0.04998456400325559,0.09973812777551096,0.025014950248595107,0.049768675936900236,0.0995222397091556,0.02474724904631447,0.04945347936002142,0.09969063240091278,0.024650099416454557,0.04975356377225536,0.10049589488841826,0.05822573112292739,0.09973812777551096,0.05810195529821698,0.0995222397091556,0.05796378693574955,0.09969063240091278,0.05829985269237606,0.10049589488841826
IMG_0090,1,IMG_0090_r1_archive.csv,14,000100100100000000000000,18,64,2,0.3758130467380324,0.3495062451540169,0.0,0.1098039215686274,0.024878940766791233,0.050079554752451946,0.09983095964404376,0.025060286742529733,0.049988881764582695,0.0998374362860344,0.024673847103753647,0.0492634978616287,0.09947258545389387,0.024740772404323808,0.04950745137661026,0.10010081972698795,0.05826315172109564,0.09983095964404376,0.05829553493104894,0.0998374362860344,0.057803310139758736,0.09947258545389387,0.058116347835974004,0.10010081972698795
IMG_0090,1,IMG_0090_r1_archive.csv,16,101100110100101100100100,179,75,36,0.3673499466861473,0.3497967242913833,0.0,0.3790849673202615,0.02494802494802495,0.04996513407728361,0.09969279128157632,0.02494370718669784,0.04966936742637677,0.09929339835881892,0.024734295762333144,0.04952256354125513,0.09964961366830526,0.024686800387734967,0.049803218027517096,0.10069019414813807,0.058201983435628296,0.09969279128157632,0.05796882432396452,0.09929339835881892,0.05796882432396452,0.09964961366830526,0.058393404187796705,0.10069019414813807
