experiment_id,algorithm,median_score,mean_score,sd_across_runs,median_runtime_s
IMG_0027,BEHHO-VC-Calibrated,5.040412755917212,5.0395972915963005,0.0030314884198622315,31.16785450000316
IMG_0027,EHHO-VC,5.04040558863267,5.038990351535366,0.0034581480031818396,18.158006100042257
IMG_0027,HHO-VC,5.040403038513467,5.039041743087351,0.0033218389225310434,21.02435309998691
IMG_0028,BDA-EHHO-VC-Calibrated,4.985358708204571,4.985051569060182,0.0010220982899368037,29.312794500030577
IMG_0028,BEHHO-VC-Calibrated,4.984800587266652,4.984743933047489,0.0010791947638656985,28.68927129998337
IMG_0028,EHHO-VC,4.985674914293425,4.985038407934514,0.0011579512060939906,17.285061399976257
IMG_0028,HHO-VC,4.985860975739789,4.985115131770607,0.001215877183172363,17.71257259999402
IMG_0029,BDA-EHHO-VC-Calibrated,3.4061677976313134,3.4065254334873147,0.005999076176545396,27.67137349996483
IMG_0029,BEHHO-VC-Calibrated,3.4066805620809872,3.4067093248928737,0.006093049849961281,28.432154699985404
IMG_0029,EHHO-VC,3.4059801606926645,3.406521033142231,0.006311688898226554,21.25066679995507
IMG_0029,HHO-VC,3.405866699136149,3.406497370698682,0.006364224812808447,21.010830299986992
IMG_0030,BDA-EHHO-VC-Calibrated,4.851549783997686,4.8520431128090475,0.0018964718423298795,30.02191330003552
IMG_0030,BEHHO-VC-Calibrated,4.851922653111941,4.852280087940997,0.0016807904354830731,29.97582389996387
IMG_0030,EHHO-VC,4.851691285225765,4.852218833631129,0.001855755034527558,18.20979210000951
IMG_0030,HHO-VC,4.852199242662317,4.852431809785243,0.0018579392159586068,16.9748874999932
IMG_0031,BDA-EHHO-VC-Calibrated,5.426235736824265,5.425728769846982,0.0027828636716120438,28.661554599995725
IMG_0031,BEHHO-VC-Calibrated,5.426097712522132,5.42581293082012,0.002388111925670017,27.00244870001916
IMG_0031,EHHO-VC,5.4263350156373775,5.4260172341120905,0.0027159120056178903,20.342428200005088
IMG_0031,HHO-VC,5.4263350156373775,5.426061908204678,0.002716102776890898,19.59090200002538
IMG_0032,BDA-EHHO-VC-Calibrated,5.214072160552161,5.214412996988884,0.0008418213467448678,29.40591749997111
IMG_0032,BEHHO-VC-Calibrated,5.213868048286932,5.214335799795738,0.001048202773968066,26.807507399993483
IMG_0032,EHHO-VC,5.214104861291015,5.214326857303389,0.001073447628056862,20.529854099964723
IMG_0032,HHO-VC,5.214104861291015,5.214373647072507,0.0010168678377156085,14.908530000015162
IMG_0033,BDA-EHHO-VC-Calibrated,5.449415650725267,5.449444666770941,0.0008076727954803619,28.81817199999932
IMG_0033,BEHHO-VC-Calibrated,5.449221577074542,5.449249331350989,0.0006180202382619213,30.449462899996437
IMG_0033,EHHO-VC,5.449094227094196,5.449423800869271,0.0008836110842601266,16.55771730002016
IMG_0033,HHO-VC,5.449002341880681,5.449331873961989,0.0009762936655996796,15.842477400030477
IMG_0034,BDA-EHHO-VC-Calibrated,5.271626709034646,5.271576566937036,0.0016639859789364217,28.345340800005943
IMG_0034,BEHHO-VC-Calibrated,5.271228706326704,5.271553443676464,0.001681401615508699,29.121360199991614
IMG_0034,EHHO-VC,5.271154759462423,5.271215693819395,0.0015911452207796098,19.164490399998613
IMG_0034,HHO-VC,5.271560761876638,5.271228023588606,0.0014332705891865502,17.389447399997152
IMG_0035,BDA-EHHO-VC-Calibrated,4.732022205469801,4.732125623519739,0.002502823607873126,27.430250099976547
IMG_0035,BEHHO-VC-Calibrated,4.732415467809205,4.732564022447389,0.0028389679965147244,28.108500600035768
IMG_0035,EHHO-VC,4.7326047766119546,4.732633118244225,0.002776665390528361,18.6811360999709
IMG_0035,HHO-VC,4.733663531324841,4.732896573030668,0.0028117340941006186,15.481133900000714
IMG_0036,BDA-EHHO-VC-Calibrated,4.980303174900982,4.979729198378597,0.002164355610600495,29.3402294999687
IMG_0036,BEHHO-VC-Calibrated,4.980331026482658,4.979534698522661,0.001966857271792391,30.35371540003689
IMG_0036,EHHO-VC,4.980156169055847,4.979298939247647,0.001965563182465636,15.56807109998772
IMG_0036,HHO-VC,4.980161421366784,4.9795500933692,0.0018972243870568558,13.177646399999505
IMG_0037,BDA-EHHO-VC-Calibrated,5.890930581110427,5.8909265409212415,0.0013622785470859496,29.13187199999811
IMG_0037,BEHHO-VC-Calibrated,5.890978035802209,5.8908702769434225,0.0012159461740115039,29.25244000001112
IMG_0037,EHHO-VC,5.890731662537164,5.890736122181139,0.0013390213934828658,20.57532120001269
IMG_0037,HHO-VC,5.890731662537164,5.890719802520545,0.0013682347292790595,19.314041599980555
IMG_0038,BDA-EHHO-VC-Calibrated,4.985463011484582,4.985725833362658,0.0018456698242911341,27.072985300037544
IMG_0038,BEHHO-VC-Calibrated,4.986570931073987,4.986261837014885,0.002256497842043833,30.401668399979823
IMG_0038,EHHO-VC,4.9853416383193006,4.985779348610759,0.0019284495154919623,13.966910000017378
IMG_0038,HHO-VC,4.987218441857446,4.9861298814980985,0.0019948784106472443,13.23022560001118
IMG_0039,BDA-EHHO-VC-Calibrated,4.9075726581680215,4.905738936065473,0.004188236857036776,26.04360169998836
IMG_0039,BEHHO-VC-Calibrated,4.9074696972345775,4.905970751397911,0.0037469227181214176,29.241864599986
IMG_0039,EHHO-VC,4.906508638873757,4.905713598284021,0.00370684304657007,19.06096830003662
IMG_0039,HHO-VC,4.907005378693512,4.905987782916399,0.003930015915470226,15.291042199998628
IMG_0040,BDA-EHHO-VC-Calibrated,5.301582093006435,5.301752407986909,0.0022882373883108117,28.88478070002748
IMG_0040,BEHHO-VC-Calibrated,5.301076072561436,5.301303174891378,0.0018414357370952015,30.2727449000231
IMG_0040,EHHO-VC,5.301470650298522,5.30142220096719,0.0019333222125091669,20.14365280000493
IMG_0040,HHO-VC,5.301445249058498,5.301463609608048,0.0019349081591923825,19.31601890001912
IMG_0041,BDA-EHHO-VC-Calibrated,5.30140615119467,5.302057452589591,0.002697141314352089,27.583490600052755
IMG_0041,BEHHO-VC-Calibrated,5.301402109902388,5.3019594905164364,0.0025467252832118573,28.22165490000043
IMG_0041,EHHO-VC,5.30145063215148,5.302050901275988,0.002440837171478704,13.986494400014635
IMG_0041,HHO-VC,5.30145063215148,5.302202736623737,0.0027143514311557338,13.419332100020256
IMG_0042,BDA-EHHO-VC-Calibrated,4.588608814724722,4.588776695996227,0.0022108091875624306,27.06767630000832
IMG_0042,BEHHO-VC-Calibrated,4.588925735744231,4.588828603905353,0.0019101841581896388,28.65926539996872
IMG_0042,EHHO-VC,4.589621836696109,4.588819496307067,0.0027910841138543445,15.35258230002364
IMG_0042,HHO-VC,4.589990226913867,4.589029620875692,0.00252854805611632,15.73030320001999
IMG_0043,BDA-EHHO-VC-Calibrated,5.252435441673293,5.251498080554176,0.0020208020891873753,27.9267075000098
IMG_0043,BEHHO-VC-Calibrated,5.251834408862032,5.251211261292758,0.0017230769316590143,26.07934489997569
IMG_0043,EHHO-VC,5.251907831779705,5.251227691977515,0.0016038301520745197,19.12785629997961
IMG_0043,HHO-VC,5.251791869720219,5.25106927088796,0.0016496467840272794,19.598225800029468
IMG_0044,BDA-EHHO-VC-Calibrated,4.82871529238228,4.828746173131438,0.001802968866022643,28.3578911999939
IMG_0044,BEHHO-VC-Calibrated,4.828496780008883,4.828796765712314,0.0018453164790353878,34.915915700024925
IMG_0044,EHHO-VC,4.82898066139298,4.828809269866689,0.0019072672124945556,20.31233029998839
IMG_0044,HHO-VC,4.82898066139298,4.828838085065064,0.0018798132515140072,18.40832439996302
IMG_0045,BDA-EHHO-VC-Calibrated,5.061453994830727,5.058638656800037,0.004800181611468962,29.07909810001729
IMG_0045,BEHHO-VC-Calibrated,5.060251208237083,5.058195571264672,0.004590904913576811,33.92982580000535
IMG_0045,EHHO-VC,5.060048250026802,5.058255816004964,0.004333944416080996,20.86861079995288
IMG_0045,HHO-VC,5.060481411443713,5.058507505792803,0.0044304668618988215,21.728756199998315
IMG_0046,BDA-EHHO-VC-Calibrated,5.691483598958484,5.691761222557621,0.0013905012650954755,29.21494120004354
IMG_0046,BEHHO-VC-Calibrated,5.69182034040534,5.691842298390262,0.0012999782192494704,25.682754900015425
IMG_0046,EHHO-VC,5.692059315180746,5.691911716878524,0.0012785697370781572,18.53363600000739
IMG_0046,HHO-VC,5.692059315180746,5.691907196086786,0.00127537054489557,18.15064920001896
IMG_0047,BDA-EHHO-VC-Calibrated,5.057054202434868,5.057679961094786,0.0032104644855423387,27.188789499981795
IMG_0047,BEHHO-VC-Calibrated,5.0565740562232095,5.057694093668213,0.003267179918706215,28.219838300021365
IMG_0047,EHHO-VC,5.0565740562232095,5.05788909415264,0.0035427548325303493,17.76618369994685
IMG_0047,HHO-VC,5.0565740562232095,5.057792107988961,0.003360545511850361,15.940014699997846
IMG_0048,BDA-EHHO-VC-Calibrated,5.517273033231423,5.51758351414445,0.001122187637239571,29.400307600037195
