algorithm,family,rate,median_delta_nmse,median_secret_nmse,median_psnr_db
EHHO-VC,central_block,0.05,0.0249345319438777,0.43844809894384645,3.580818722324251
EHHO-VC,central_block,0.1,0.04994246583031625,0.4313210798022534,3.651995685921438
EHHO-VC,central_block,0.2,0.09988007417913955,0.41841079599263903,3.7839712274897357
EHHO-VC,central_block,0.3,0.14991105411666159,0.40561811659710745,3.918827281026402
EHHO-VC,crop_loss,0.05,0.024623653128325974,0.43925706218109933,3.572812516865659
EHHO-VC,crop_loss,0.1,0.04960783932746545,0.43296365064240105,3.6354856883016327
EHHO-VC,crop_loss,0.2,0.10036258400744377,0.420398221499667,3.7633914458680904
EHHO-VC,crop_loss,0.3,0.14981714280779695,0.4057936023946221,3.916949674375614
EHHO-VC,pixel_dropout,0.05,0.025009013326770302,0.43909276458134366,3.5744373305302988
EHHO-VC,pixel_dropout,0.1,0.04998456400325553,0.43278951111157987,3.6372328442437682
EHHO-VC,pixel_dropout,0.2,0.09996265136452048,0.4202103866889517,3.765332265418005
EHHO-VC,pixel_dropout,0.3,0.15004490471780188,0.40683786782893167,3.905786723846449
EHHO-VC,random_block,0.05,0.024928055301887023,0.440239924558932,3.563125550567108
EHHO-VC,random_block,0.1,0.049920337303514854,0.4343866471253852,3.621267752415726
EHHO-VC,random_block,0.2,0.09986496201449467,0.41937129528846584,3.774103907138173
EHHO-VC,random_block,0.3,0.14990835551583212,0.40752039196627365,3.8985159032258796
HHO-VC,bit_flip,0.05,0.049988342044416774,0.4335511312496081,3.6295972014979134
HHO-VC,bit_flip,0.1,0.0999896373728149,0.42044651889718665,3.762893083740951
HHO-VC,bit_flip,0.2,0.19992908077020222,0.39566369195404755,4.026738942837758
HHO-VC,bit_flip,0.3,0.2999931995259098,0.37002020985377493,4.317748466304252
HHO-VC,central_block,0.05,0.024937230544707124,0.4385485565167355,3.5798232771555654
HHO-VC,central_block,0.1,0.049945164431145696,0.4325989275087573,3.6391458840199773
HHO-VC,central_block,0.2,0.09987737557831013,0.4190539483220228,3.777300835971051
HHO-VC,central_block,0.3,0.14989594195201666,0.40539633457073554,3.9212049118769983
HHO-VC,crop_loss,0.05,0.02462419284849185,0.4399135126592575,3.566328522393559
HHO-VC,crop_loss,0.1,0.0496153954097879,0.4335519725988525,3.6295902135798928
HHO-VC,crop_loss,0.2,0.10036906064943445,0.42012289498313926,3.766237317213812
HHO-VC,crop_loss,0.3,0.14983225497244185,0.40583128681448166,3.916546542002515
HHO-VC,pixel_dropout,0.05,0.025010092767102077,0.4392050750564909,3.5733266581145955
HHO-VC,pixel_dropout,0.1,0.049985643443587344,0.4333945298560633,3.631166802455721
HHO-VC,pixel_dropout,0.2,0.09998208129049242,0.42039738537954535,3.7634005582962544
HHO-VC,pixel_dropout,0.3,0.15004922247912897,0.40837650938201764,3.8893968705237145
HHO-VC,random_block,0.05,0.024929134742218827,0.4399932111544827,3.5655765825126986
HHO-VC,random_block,0.1,0.049914940101855924,0.4347594491623208,3.617587462375052
HHO-VC,random_block,0.2,0.09985902509266989,0.42018242542437045,3.7656731894958195
HHO-VC,random_block,0.3,0.1499013391536756,0.4078615900985442,3.8954633631578752
MO-BDA-EHHO-VC,bit_flip,0.05,0.049988342044416774,0.41750123594672955,3.793422881401578
MO-BDA-EHHO-VC,bit_flip,0.1,0.0999896373728149,0.406740362784731,3.9068275185954477
MO-BDA-EHHO-VC,bit_flip,0.2,0.19992908077020222,0.385398566999425,4.140901879852684
MO-BDA-EHHO-VC,bit_flip,0.3,0.2999931995259098,0.36404649722471405,4.38843234005016
MO-BDA-EHHO-VC,central_block,0.05,0.0249291347422188,0.4216737313069061,3.7502362793871633
MO-BDA-EHHO-VC,central_block,0.1,0.04993760834882328,0.4163898885124726,3.804998372181185
MO-BDA-EHHO-VC,central_block,0.2,0.09987683585814423,0.4060542434429185,3.914159617643204
MO-BDA-EHHO-VC,central_block,0.3,0.14988784614952838,0.39506659718142,4.033299494684837
MO-BDA-EHHO-VC,crop_loss,0.05,0.024625272288823625,0.4225578596223962,3.741138713585218
MO-BDA-EHHO-VC,crop_loss,0.1,0.04961593512995378,0.4176842963194007,3.791518676610206
MO-BDA-EHHO-VC,crop_loss,0.2,0.10037391813092741,0.40713177783416765,3.9026533439301385
MO-BDA-EHHO-VC,crop_loss,0.3,0.149807427844811,0.39629598054028625,4.019805623909717
MO-BDA-EHHO-VC,pixel_dropout,0.05,0.025012791367931497,0.4231516437378309,3.735039898458678
MO-BDA-EHHO-VC,pixel_dropout,0.1,0.0499964378469051,0.41794403930322177,3.788818867565842
MO-BDA-EHHO-VC,pixel_dropout,0.2,0.09998208129049249,0.4066430595431662,3.9078665315535726
MO-BDA-EHHO-VC,pixel_dropout,0.3,0.15001845842967337,0.39613916314247244,4.0215244082839074
MO-BDA-EHHO-VC,random_block,0.05,0.024927515581721148,0.423404387939308,3.7324701395486803
MO-BDA-EHHO-VC,random_block,0.1,0.049918718143017175,0.4166601006066776,3.802222814587846
MO-BDA-EHHO-VC,random_block,0.2,0.0998741372573148,0.40542971316494797,3.9208940363906377
MO-BDA-EHHO-VC,random_block,0.3,0.14990511719483676,0.395031191040526,4.034574136926824
