experiment_id,run_index,archive_file,archive_row,bits,level_R,level_G,level_B,old_f1_reconstruction,old_f2_security,old_f3_robustness,old_f4_complexity
IMG_0005,2,IMG_0005_r2_archive.csv,13,110110100100111010011100,218,78,156,0.5299160598728342,0.3275988862376894,0.0,0.5908496732026144
IMG_0005,2,IMG_0005_r2_archive.csv,14,000000000000010100000001,2,5,2,0.5305436845796233,0.3279806239711703,0.0,0.0117647058823529
IMG_0005,2,IMG_0005_r2_archive.csv,15,000001100010000110011001,6,33,153,0.5127137770300897,0.3277082816230155,0.0,0.2509803921568627
IMG_0005,2,IMG_0005_r2_archive.csv,16,000000010000010000001011,2,4,11,0.5147391711390461,0.3280733705629679,0.0,0.0222222222222222
IMG_0005,2,IMG_0005_r2_archive.csv,17,000000010000010000001000,2,4,8,0.515486770347338,0.3280899096300281,0.0,0.0183006535947712
IMG_0005,2,IMG_0005_r2_archive.csv,18,000101000001000100001001,20,17,9,0.5087906421558827,0.3278405867835289,0.0,0.0601307189542483
IMG_0005,2,IMG_0005_r2_archive.csv,19,000000000000010000001010,2,4,10,0.5151184483737383,0.3280692028931003,0.0,0.0209150326797385
IMG_0005,2,IMG_0005_r2_archive.csv,20,000010000010011001100001,8,38,97,0.5122033499116361,0.3277487203861859,0.0,0.1869281045751634
IMG_0005,2,IMG_0005_r2_archive.csv,21,000100010001010000001001,17,20,9,0.5080239008723739,0.3278513654132687,0.0,0.0601307189542483
IMG_0006,1,IMG_0006_r1_archive.csv,0,000000100000110000000111,2,12,7,0.5110002266509289,0.3312410017660968,0.0,0.0274509803921568
IMG_0006,1,IMG_0006_r1_archive.csv,1,001100000001100000010010,48,24,18,0.4846857064386627,0.3314318971436737,0.0,0.1176470588235294
IMG_0006,1,IMG_0006_r1_archive.csv,2,010000000001010000000000,64,20,2,0.5064980715165583,0.3312393848673597,0.0,0.1124183006535947
IMG_0006,1,IMG_0006_r1_archive.csv,3,000011110000101000010000,15,10,16,0.48998779035537,0.3313935959094803,0.0,0.05359477124183
IMG_0006,1,IMG_0006_r1_archive.csv,4,010100000001001101010000,80,19,80,0.4937524210578787,0.3311790908525078,0.0,0.2339869281045751
IMG_0006,1,IMG_0006_r1_archive.csv,5,000010100000101000000001,10,10,2,0.5123402057809026,0.3312128591877012,0.0,0.0287581699346405
IMG_0006,1,IMG_0006_r1_archive.csv,6,011000110000110000101010,99,12,42,0.4930703248287786,0.3312005048674223,0.0,0.2
IMG_0006,1,IMG_0006_r1_archive.csv,7,000000000000000000000000,2,2,2,0.5493493551594857,0.3316250518222797,0.0,0.0078431372549019
IMG_0006,1,IMG_0006_r1_archive.csv,8,000001100001001000001000,6,18,8,0.4947011771468217,0.3312960540610477,0.0,0.0418300653594771
IMG_0006,1,IMG_0006_r1_archive.csv,9,000000000001001100000000,2,19,2,0.5271409159087155,0.3311984590520458,0.0,0.0300653594771241
IMG_0006,1,IMG_0006_r1_archive.csv,10,000100110001110000001010,19,28,10,0.4883371186662156,0.3315382325732992,0.0,0.0745098039215686
IMG_0006,1,IMG_0006_r1_archive.csv,11,010000100000110001000010,66,12,66,0.4934511429116308,0.3312043406354313,0.0,0.188235294117647
IMG_0006,1,IMG_0006_r1_archive.csv,12,000100000010001000001100,16,34,12,0.486609929473386,0.3313068640677151,0.0,0.0810457516339869
IMG_0006,1,IMG_0006_r1_archive.csv,13,000001100001110000001111,6,28,15,0.4911432317527026,0.3312624044752601,0.0,0.0640522875816993
IMG_0006,1,IMG_0006_r1_archive.csv,14,010010100000110000000011,74,12,3,0.4990490950736291,0.3312101899917494,0.0,0.1163398692810457
IMG_0006,1,IMG_0006_r1_archive.csv,15,000000100000011000000101,2,6,5,0.5172153562305445,0.3316074870118828,0.0,0.0169934640522875
IMG_0006,1,IMG_0006_r1_archive.csv,16,000010100000000000000101,10,2,5,0.5168904404575803,0.3317874721604714,0.0,0.0222222222222222
IMG_0006,1,IMG_0006_r1_archive.csv,17,001000010000101001111010,33,10,122,0.4980315765190022,0.3311600232562882,0.0,0.2156862745098039
IMG_0006,2,IMG_0006_r2_archive.csv,0,110110000001001100100000,216,19,32,0.4900598292399433,0.3315078289955135,0.0,0.3490196078431372
IMG_0006,2,IMG_0006_r2_archive.csv,1,000111100001011000100010,30,22,34,0.4903081174486492,0.3315966356210989,0.0,0.1124183006535947
IMG_0006,2,IMG_0006_r2_archive.csv,2,001000000001010000010010,32,20,18,0.4852713811309894,0.331778017278705,0.0,0.0915032679738562
IMG_0006,2,IMG_0006_r2_archive.csv,3,000010000001101100000101,8,27,5,0.4951397347046756,0.3318140789098642,0.0,0.0522875816993464
IMG_0006,2,IMG_0006_r2_archive.csv,4,000001100010000100011011,6,33,27,0.4934493988747026,0.3316153316726256,0.0,0.0862745098039215
IMG_0006,2,IMG_0006_r2_archive.csv,5,000010010000000000010001,9,2,17,0.5108403678874418,0.3320769013950144,0.0,0.0366013071895424
IMG_0006,2,IMG_0006_r2_archive.csv,6,011100010001011100010110,113,23,22,0.4851699560707958,0.3316142204820658,0.0,0.2065359477124183
IMG_0006,2,IMG_0006_r2_archive.csv,7,111000110001011011000010,227,22,194,0.5044289664238139,0.3314688331421656,0.0,0.5790849673202614
IMG_0006,2,IMG_0006_r2_archive.csv,8,000001100001001101001001,6,19,73,0.499140360695406,0.3314696068516073,0.0,0.1281045751633986
IMG_0006,2,IMG_0006_r2_archive.csv,9,000010100001000000100001,10,16,33,0.4911219985264116,0.3317047797757612,0.0,0.0771241830065359
IMG_0006,2,IMG_0006_r2_archive.csv,10,011000000001000100010100,96,17,20,0.4863326360680002,0.3317399212669129,0.0,0.1738562091503268
IMG_0006,2,IMG_0006_r2_archive.csv,11,000010100001101100000001,10,27,2,0.5096337144542903,0.3317662109479368,0.0,0.0509803921568627
IMG_0006,2,IMG_0006_r2_archive.csv,12,000010000000101100000001,8,11,2,0.5129173126801645,0.3316795061148457,0.0,0.0274509803921568
IMG_0006,2,IMG_0006_r2_archive.csv,13,001000000001100100011100,32,25,28,0.487817285601028,0.3316807092625918,0.0,0.1111111111111111
IMG_0006,2,IMG_0006_r2_archive.csv,14,000011000001000100001101,12,17,13,0.4884651783874584,0.3318884294830139,0.0,0.0549019607843137
IMG_0006,2,IMG_0006_r2_archive.csv,15,110001100001011001010001,198,22,81,0.4962011504994613,0.3314940812699287,0.0,0.3934640522875817
IMG_0006,2,IMG_0006_r2_archive.csv,16,100111100001001100100011,158,19,35,0.4923257903844091,0.3315130977992993,0.0,0.2771241830065359
IMG_0006,2,IMG_0006_r2_archive.csv,17,010111100001011000101001,94,22,41,0.4895370668700121,0.3316124533209481,0.0,0.2052287581699346
IMG_0006,2,IMG_0006_r2_archive.csv,18,000010010000100100010001,9,9,17,0.4917349597770859,0.331863939701378,0.0,0.0457516339869281
IMG_0006,2,IMG_0006_r2_archive.csv,19,000001110010110101101011,7,45,107,0.5017418711583789,0.3314695974388807,0.0,0.2078431372549019
IMG_0006,2,IMG_0006_r2_archive.csv,20,011100110001111000100011,115,30,35,0.4901215562945235,0.3315793481402626,0.0,0.2352941176470588
IMG_0006,2,IMG_0006_r2_archive.csv,21,011101010000100000111010,117,8,58,0.4961361893569851,0.3315202311448584,0.0,0.2392156862745098
IMG_0006,2,IMG_0006_r2_archive.csv,22,000110110001011001001011,27,22,75,0.49314532688289,0.3315244834820905,0.0,0.1620915032679738
IMG_0006,2,IMG_0006_r2_archive.csv,23,000010100001011001010000,10,22,80,0.4964614776426911,0.3314930372167218,0.0,0.1464052287581699
IMG_0015,1,IMG_0015_r1_archive.csv,0,001100000001100100110001,48,25,49,0.4454604055173211,0.3384191238319572,0.0,0.1594771241830065
IMG_0015,1,IMG_0015_r1_archive.csv,1,001100000001100100110011,48,25,51,0.4456638398054172,0.3384089333857679,0.0,0.1620915032679738
IMG_0015,1,IMG_0015_r1_archive.csv,2,000011100010111000000111,14,46,7,0.4525456232677395,0.3382540281364088,0.0,0.0875816993464052
IMG_0015,1,IMG_0015_r1_archive.csv,3,001010010011101100110101,41,59,53,0.4471468638282984,0.3382623229604563,0.0,0.2
